date,opponent,result,syracuse_score,opponent_score,syracuse_goals,syracuse_assists,syracuse_points,syracuse_shots,syracuse_shot_pct,syracuse_sog,syracuse_sog_pct,syracuse_gwg,syracuse_fpg,syracuse_fps,syracuse_ground_balls,syracuse_turnovers,syracuse_caused_turnovers,syracuse_draw_controls
2025-02-07,UAlbany,W,21,9,21,14,35,34,0.618,26,0.765,1,2,2,20,17,14,19
2025-02-15,Maryland,W,15,9,15,9,24,26,0.577,19,0.731,1,0,0,13,15,9,12
2025-02-18,Cornell,W,18,10,18,12,30,31,0.581,24,0.774,1,3,6,16,20,10,16
2025-02-22,North Carolina,L,8,16,8,4,12,27,0.296,17,0.630,0,1,4,11,15,3,9
2025-02-25,Northwestern,L,8,12,8,3,11,22,0.364,15,0.682,0,2,4,10,14,4,6
2025-03-01,Clemson,L,8,9,8,2,10,17,0.471,14,0.824,0,4,6,17,16,8,4
2025-03-07,Stanford,W,14,13,14,7,21,28,0.500,23,0.821,1,5,6,17,17,10,17
2025-03-10,Johns Hopkins,L,13,14,13,4,17,27,0.481,22,0.815,0,4,8,16,13,9,16
2025-03-15,Pitt,W,17,11,17,6,23,36,0.472,31,0.861,1,2,4,22,15,12,13
2025-03-19,Loyola,W,14,12,14,5,19,35,0.400,27,0.771,1,2,6,23,8,8,10
2025-03-23,Notre Dame,W,12,11,12,7,19,31,0.387,24,0.774,1,2,4,13,12,8,15
2025-03-29,Virginia,W,13,12,13,8,21,30,0.433,21,0.700,1,3,5,16,12,5,13
2025-04-02,Yale,L,10,13,10,5,15,20,0.500,19,0.950,0,3,6,11,8,5,7
2025-04-05,California,W,18,6,18,7,25,41,0.439,31,0.756,1,2,4,13,10,7,14
2025-04-12,Virginia Tech,L,11,14,11,4,15,36,0.306,24,0.667,0,0,6,15,14,7,16
2025-04-17,Boston College,L,2,17,2,0,2,23,0.087,14,0.609,0,0,2,18,14,5,10
2025-04-22,Stanford,L,10,15,10,6,16,28,0.357,19,0.679,0,3,7,18,22,10,18
2025-05-09,Brown,W,15,9,15,4,19,30,0.500,20,0.667,1,3,4,17,14,10,15
2025-05-11,Yale,L,8,9,8,5,13,16,0.500,12,0.750,0,3,6,9,14,9,10
