number,player,games_played,games_started,goals,assists,points,shots,shot_pct,shots_on_goal,sog_pct,game_winning_goals,free_position_goals,free_position_shots,ground_balls,turnovers,caused_turnovers,draw_controls,fouls,red_cards,yellow_cards,green_cards
44,Emma Ward,19,19,30,46,76,77,0.390,55,0.714,1,3,9,6,41,2,0,9,0,1,0
24,Caroline Trinkaus,19,18,32,11,43,72,0.444,57,0.792,4,9,11,6,16,5,8,6,0,3,7
5,Emma Muchnick,19,18,34,7,41,71,0.479,55,0.775,2,12,24,27,31,9,13,8,0,1,1
19,Gracie Britton,19,14,20,10,30,41,0.488,33,0.805,0,3,7,8,16,0,1,2,0,0,1
11,Alexa Vogelman,19,10,21,6,27,46,0.457,35,0.761,0,9,14,25,27,13,31,26,0,3,0
47,Mileena Cotter,19,13,21,2,23,50,0.420,38,0.760,1,4,10,11,26,10,24,29,0,0,5
33,Joely Caramelli,19,13,16,4,20,46,0.348,29,0.630,0,0,5,23,8,11,39,30,0,2,4
22,Molly Guzik,19,0,14,5,19,34,0.412,23,0.676,0,0,0,15,14,8,13,15,0,2,1
1,Olivia Adamson,3,3,10,6,16,18,0.556,13,0.722,1,1,1,2,7,1,5,1,0,0,1
21,Ashlee Volpe,12,8,14,2,16,31,0.452,22,0.710,0,2,4,5,10,1,0,2,0,1,2
18,Carlie Desimone,15,5,3,9,12,12,0.250,9,0.750,0,0,1,8,7,2,0,4,0,0,1
72,Sam Devito,19,13,8,2,10,12,0.667,11,0.917,0,1,2,22,11,13,11,14,0,0,4
12,Annie Parker,15,0,6,1,7,13,0.462,9,0.692,1,0,1,1,4,0,1,0,0,0,3
2,Bri Peters,3,0,2,1,3,3,0.667,3,1.000,0,0,1,1,1,0,0,0,0,1,3
6,Payton Rowley,6,0,1,0,1,3,0.333,2,0.667,0,0,0,0,2,0,0,0,0,0,0
20,Mackenzie Rich,5,0,1,0,1,1,1.000,1,1.000,0,0,0,1,0,0,0,2,0,0,0
28,Meghan Rode,17,9,1,0,1,3,0.333,2,0.667,0,0,0,1,4,0,75,17,0,0,1
0,Daniella Guyette,19,19,0,0,0,0,0.000,0,0.000,0,0,0,28,8,2,0,0,0,0,0
4,Kaci Benoit,19,19,0,0,0,2,0.000,1,0.500,0,0,0,34,5,12,13,51,0,1,3
7,Ana Horvit,12,3,0,0,0,0,0.000,0,0.000,0,0,0,6,2,2,0,15,0,0,1
8,Lexi Reber,8,8,0,0,0,1,0.000,1,1.000,0,0,0,5,2,1,1,16,0,2,0
9,Julia Basciano,2,2,0,0,0,0,0.000,0,0.000,0,0,0,0,0,0,0,1,0,1,1
15,Kendall Boggs,5,0,0,0,0,0,0.000,0,0.000,0,0,0,0,0,0,0,1,0,1,0
16,Coco Vandiver,19,18,0,0,0,0,0.000,0,0.000,0,0,0,34,3,40,1,51,0,1,0
17,McKenzie Olsen,2,0,0,0,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0
25,Ella Blesi,5,1,0,0,0,0,0.000,0,0.000,0,0,0,2,2,0,0,3,0,1,0
27,Izzy Lahah,6,2,0,0,0,2,0.000,2,1.000,0,0,0,7,1,8,1,9,0,1,1
30,Superia Clark,16,13,0,0,0,0,0.000,0,0.000,0,0,0,14,7,13,2,46,0,1,0
34,Chloe Bethea-jones,4,0,0,0,0,0,0.000,0,0.000,0,0,0,1,0,0,0,0,0,0,0
35,Alice Nash,1,0,0,0,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0
45,Ava Peers,1,0,0,0,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0
88,Allie Hanlon,3,0,0,0,0,0,0.000,0,0.000,0,0,0,1,0,0,0,0,0,0,0
